Project Name,Project Source,Project Type,Project Plant Year,Project Built Year,Project Country,Project Latitude,Project Longitude,Project Function,Project Description,Project Lessons,Project Link,Project Retail Rate,Project Consumption,Project PVaPC,Project Form,Project Size,Project Cost,System Type,System Building Element,System Inverter,System Cost,System Cost Intensity,System Efficiency Comprimise,System Rating,System Coverage,System Specific Yield,System Generation Measured,System Generation Simulated,System Agreement,System Agreement Rate,System Rebate,Array Orientation(s),Array Surface(s),Array Tilt(s),Array Mount(s),Module Type(s),Module Cell Type(s),Module Products,Module Sizes(s),Module Transparency,Module Uniques,Module Cost,Fake Modules?,Data Source(s),Image Name,Economic FIT,Economic DR,Economic Price Change,Note
City Hall of Hyogo (Kobe City Hall),BIPV SG,New Construction,2004,2004,,34.6894837,135.195739,,The building consists of of Facade BIPVs which acts as shading devices.,,,,,,,,,,Glazed Facade,,,,,2.4,,,,,,,,,,,,,Glass glass hybrid,,,,,,,,,,,,
Novartis Pharmaceuticals Corp.,BIPV SG,New Construction,,,,40.8082407,-74.3886369,,"The Skylight is comprised of 820 modules of photovoltaic glass measuring 1511 x 1931mm with a power capacity of 340Wp. It was nabufactured with perforated crystalline cells which enables passage of daylight. The design of the skylight enables the modules to be opened and close, making the skylight totally operable.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red River College,BIPV SG,New Construction,,,,49.9189043,-97.2113108,,"Red River College is building a new facility, across from the main campus, which will incorporate the glass technology.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sao Paulo-Viracopos Airport,BIPV SG,New Construction,,,,-23.0082062,-47.1375717,,"The new terminal at Viracopos-Campinas International Airport features 33 amorphous silicon photovoltaic skylights integrated in the roof. The 4,100 photovoltaic glass units employed form a surface area of over 3,340 m2 and a total installed power capacity of 154 kWp, which will enable the generation of sufficient energy from the sun to feed approximately 10,200 lights cleanly and without cost.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bayerische Landesbank,BIPV SG,New Construction,,,,48.1454245,11.5730804,,The applications of BIPVs are on the building's facades and also sunshades. This will help it to provide shades and also harvest energy at the same time.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SF Solar Fabrik GmbH & Co. KG,BIPV SG,New Construction,,,,47.98952136,7.789405079,,"Solar Modules that has been made to install on the building, it actually supplied 20% of the building’s electrical power. Photovoltaic has multiple functions. For this case, it is used to shade and prevent the glass-clad factory from overheating whilst generating electricity. It serves as a major architectural design element of the building as well as a showcase of the latest PV technologies.<br>The type of applications they used are the skylight façade where they allow natural light to shine through and reduces the energy consumption to light up the building",,,,,20,,,,,Facade,,,,,56.5,575,,,45000,,,,180,,,,Mono,,,,,,,,,,,,,
Doxford Solar Office,BIPV SG,New Construction,1998,1998,United Kingdom,54.86239549,-1.439521094,Office,First ever building constructed incorporated the Building-Integrated Photovoltaics. In Europe this is the largest PV facade. The main feature of the building is of course the façade. The Façade is 66m long and it covers 532m^2.,,,,,,Sawtooth,,,,Facade,,,,,73,640,,,113000,,,,,,,,Poly,,Kyocera,,5,,,,,,,,,
"Primrose Hill, Eglon House",BIPV SG,New Construction,,,,51.5412572,-0.1533169,,"Location : Primrose Hill, London, UK",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodrigo Caro Gardens,BIPV SG,New Construction,,,,41.448101,2.1711403,,"In Barcelona, the Barcelona City Council made a commitment towards sustainability and efficiency of clean energy.",,,,,,Ribbon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Genyo Building,BIPV SG,New Construction,,,,37.1489712,-3.5971793,,The façade features an active surface area of 550 m2 of amorphous silicon glass modules with a semi-transparency degree of 20% (L vision).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Twin City Tower,BIPV SG,New Construction,,,,48.1458482,17.1244991,,"Onyx Solar supplied amorphous silicon technology for the curtain wall of this iconic project in Bratislava. Amorphous silicon glass supplied is fully black, with a grey frit pattern and argon chamber in various dimensions according to the project requirements. Some of these dimensions almost reaching 4 sqm. The 192 glasses supplied to achieve 25kWp",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copenhagen International School,BIPV SG,New Construction,,,,55.7120238,12.5983315,,"The Copenhagen International School is a really great example of a BIPV structure. It is a Facade BIPV that is covered with 12000 solar panels, each individually angled to create a sequin-like effect, which will supply more than half of the school’s annual electricity consumption.",,,,,,Tower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green Umwelt Arena Spreitenbach,BIPV SG,New Construction,,,,47.4242534,8.367338,,The Green Arena located in Spreitenbach Switzerland is a great example of a roof BIPV. It is specially formed with photovoltaic panels with a insulating building shell.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glassbel Office,BIPV SG,New Construction,,,,55.69106,21.2024323,,"GLASSBEL facade was successfully tested and now is working all over the year. <br>We expect this solution to be revolutionary in glass industry: no gas, no pipelines, no heating batteries – only glass and PV solution",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beneteau Building Givrand,BIPV SG,New Construction,,,,46.6928831,-1.8622058,,"The Beneteau Building Givrand is a great example of a roof canopy BIPV. Semi-transparent glass/glass modules, homogeneous rendering, building integrated PV & watertight covering are integrated over the parking company.<br> <br>Link: https://bipv.sg/world/#Beneteau-Building-Givrand",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy Producer Carpark (North of Brussels City Centre),BIPV SG,New Construction,,,,50.8238186,4.3670393,,"Located in the North of Brussels City Center, this carpark, is not an ordinary carpark but an Energy Producer Carpark where it produces energy mainly for electric cars.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GDF SUEZ Building,BIPV SG,New Construction,,,,48.9246887,2.3552169,,"The GDF SUEZ Building is an example of a BIPV facade system. The Photovoltaic System that is used for the system has gone through many tests to ensure that when applied to the building, it will be able to meet the harsh weather conditions.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Urban Community Building,BIPV SG,New Construction,,,,44.8298704,-0.555303,,"The project was completed in France, 2012. The building was constructed with a double-glazed photovoltaic façade with mural painting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perpingnan Rail Station,BIPV SG,New Construction,,,,42.6962556,2.8796807,,"Located near Perpignan City Center, the architect made a design with semi-transparent BIPV in the Solar Wave Roof above the Rail Station Building.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The French Ministry of Defense,BIPV SG,New Construction,,,,47.0745469,2.4146375,,The project consist of green architecture with bioclimatic design. It is a self sufficient building 10 months per year. The building will then produce 80% energy on site using renewables.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cité Musicale de l’Île Seguin,BIPV SG,New Construction,,,,48.8262187,2.2294063,,"Located downstream from Ile Seguin on the Seine in Paris, the Cité de la Musique is an auditorium and a show room. The purpose of this building to promote everyone’s access to music. The auditorium, located on the Seine, is decorated with a large photovoltaic sail of more than 1000 m². A system mechanics around the auditorium makes it follow the sun.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solar Silo,BIPV SG,New Construction,,,,47.541714,7.5932238,,Solar Silo is an example where the integration of coloured PV modules in the opaque parts of roof and facade building envelope is experimented. Customized photovoltaic modules of Antec Solar are used creating a particular visual design. The colour is obtained thanks to the patented technology Swiss Inso Kromatix.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Union Drammen,BIPV SG,New Construction,,,,59.7434081,10.188553,,"The Energy Building for Union Eiendomsutvikling, Norway is the first project in the world that was ever made applying a screen printed layer on the first glass of the PV glazing. The objective of the project was to replicate a green wall according to the requirements of the architects.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Treurenberg Building,BIPV SG,New Construction,,,,50.847862,4.3622745,,The building is articulated around an atrium which opens at the ground floor via a patio giving on the enclosure and develops a splendid interior space on the fifth floor overhanging the historical center of Brussels.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paris Habitat,BIPV SG,New Construction,,,,48.8365949,2.3019208,,The Construction of a BIPV façade implemented with four different types of tailor-made active modules. A great example of a Facade BIPV.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dubai Frame,BIPV SG,New Construction,,,,25.23556,55.3003639,,Dubai Frame is an impressive rectangular picture-frameshaped building that stands at 150 metres tall and 105metres wide.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dewa reasearch & develepment centre,BIPV SG,New Construction,,,,24.7679111,55.3699711,,"for solar power, the building will incorporate 1000sqm if photovoltaic glass that are manufactured by Onyx Solar. The four Façade of the building will implement Onyx Solar amorphous silicon glass with transparency degree XXl and with 6 different colours",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus International University,BIPV SG,New Construction,,,,35.220923,33.416627,,"In Cyprus, solar power panels are usually installed with a single type plan configuration. However, in the context of the present project, Onyx Solar photovoltaic glass has been installed on the façade of the building integrating the photovoltaic installation in the same construction structure.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BURSAGAZ Headquarters,BIPV SG,New Construction,,,,40.232332,28.982848,,"Onyx Solar® has been entrusted to provide the building with a touch of originality by integrating a double skin of photovoltaic glass in the form of a mosaic, which is superimposed on the façade. The 315 amorphous silicon glass modules, measuring 500 mm x 700 mm (1.6 x 2.3 Ft), have a degree of transparency of 20%, enabling the uniform passage of light into the building and thus reducing the need for artificial lighting. This is a 4.1 kWp installation, generating approximately 3,400 kWh per year",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Coal Loader Centre for Sustainability,BIPV SG,New Construction,,,,-33.8429888,151.1944684,,"The PV glass has been installed without the frame, fixed by a spider system, which provides greater visual continuity to the canopy. Thanks to the photovoltaic colonnade, a shaded walkway area has been created, providing an enjoyable experience for visitors",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mohammed VI Polytechnic University,BIPV SG,New Construction,,,,32.2181727,-7.9356577,,This photovoltaic pergola of nearly 600 m2 was installed at the entrance to the Mohammed VI Polytechnic University.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federation of Korean Industries,BIPV SG,New Construction,2013,2013,,37.522134,126.9202403,,The Federation of Korean Industries have chose to create a building that consist of a curtain wall BIPV.,,,,,,,,,,Rooftop and Facade,,,,,,,,,844000,,,,,,,,,Monocrystalline silicon,,,,,,,,,,,,
Pharmaceutical International Innovation Park,BIPV SG,New Construction,,,,28.6929828,115.9765769,,The Pharmaceutical International Innovation Park is known to have the biggest photovoltaic glass curtain wall in China.,,,,,,,,,,Facade,,,,,460,6000,,,,,,,,,,,,CIGS,,,,,,,,,,,,
Taiwan National Stadium,BIPV SG,New Construction,2009,2009,,22.703036,120.2944946,,The Taiwan national stadium was made in order for them to carry out football matches and also one of the biggest events they have hosted was the World Games.,,,,,,,,,,Canopy,,,,,1000000,,,,850000,,,,,,,,,Monocrystalline silicon,,,,,,,,,,,,
4 Times Square,,,1999,,,,,,,,,,,,,,,,,,,,,14,,,,13800,,,,150_210,,90,,glass-glass thin film,Amorphous silicon,,,,,,,,,,,,
Tides Thoreau Center,,,1996,,,,,,,,,,,,,,,,,,,,,1.25,,,,716.4,,,,,,,,"Roof-integrated, translucent glass-laminate skylight",Polycrystalline silicon,,,,,,,,,,,,
Steven F. Udvar-Hazy Center,,,2003,,,,,,,,,,,,,,,,,,,,,21.14,,,,,,,,90_180_270,,,,,,,,,,,,,,,,,
Ford Island,,,1999,,,,,,,,,,,,,,,,,,,,,2.8,,,,,,,,,,,,Integrated standing seam metal roof,Multijunction amorphous silicon,,,,,,,,,,,,
Western Area Power Administration,,,1996,,,,,,,,,,,,,,,,,,,,,40,,,,70000,,,,,,,,PowerGuard™ B I PV roof tiles,Polycrystalline silicon,,,,,,,,,,,,
Photovoltaic Manufacturing Facility,,,1993,,,,,,,,,,,,,,,,,,,,,9.5,,,,na,,,,,,,,"Glass laminates as cur tain wall spandrel, skylight, and awning",Amorphous silicon,,,,,,,,,,,,
Sun Microsystems Clock Tower,,,1998,,,,,,,,,,,,,,,,,,,,,2.5,,,,na,,,,,,,,curtain wall,"Polycrystalline silicon manufactured by A S E Americas, Inc.",,,,,,,,,,,,
"State University of New York, Albany",,,1996,,,,,,,,,,,,,,,,,,,,,15,,,,19710,,,,,,,,curtain wall,Polycrystalline silicon,,,,,,,,,,,,
Navajo Nation Outdoor Solar Classroom,,,1999,,,,,,,,,,,,,,,,,,,,,4,,,,5818,,,,,,,,Energy Photovoltaics E PV-40 modules,a-Si,,,,,,,,,,,,
"General Services Administration, Williams Building",,,1999,,,,,,,,,,,,,,,,,,,,,37,,,,50000,,,,,,,,"PowerLight, using A S E Americas, Inc., solar panels",Amorphous silicon,,,,,,,,,,,,
Academy of Further Education,,,1999,,,,,,,,,,,,,,,,,,,,,1000,,,,750000,,,,,,,,B I PV roof,Polycrystalline and monocrystalline silicon,,,,,,,,,,,,
Discovery Science Center,,,1999,,,,,,,,,,,,,,,,,,,,,20,,,,30000,,,,,,,,Thin-film photovoltaic system,Thin-film technology,,,,,,,,,,,,
Ijsselstein Row Houses,,,2000,,,,,,,,,,,,,,,,,,,,,1.6  per housing unit,,,,1150,,,,,,,,Standard-size B I PV glass laminate panels,"Amorphous silicon, both opaque and 15% translucent",,,,,,,,,,,,
Denver Federal Courthouse,,,2002,,,,,,,,,,,,,,,,,,,,,15  (roof ); 3.4  (skylight),,,,20150,,,,,,,,Custom-sized B I PV glass laminate,Single- or polycrystalline silicon,,,,,,,,,,,,
Dynamo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Powerhouse Brattørkaia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,glass-glass monocrystalline silicon,,,,,,,,,,,,,
Powerhouse Telemark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIRS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bullit Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZSW,,,,,,,,,,,https://nice-solarenergy.com/en/references/reference-details/zsw-en.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UZH MIcrobiology,,,,,,,,,,,https://nice-solarenergy.com/en/references/reference-details/university-zuerich-en.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kiwi Dalgrad,,,,,,,,,,,https://nice-solarenergy.com/en/references/reference-details/kiwi-dalgard-supermarket-en.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spar Snaroya,,,,,,,,,,,https://nice-solarenergy.com/en/references/reference-details/spar-snaroya-supermarkt-en.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grosspeter Tower,,,,,,,,,,,https://nice-solarenergy.com/en/references/reference-details/grosspeter-tower-en.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green Dot Charter High School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ClimateHouse,,,,,,,,,,,https://bipv.eurac.edu/en/case-studies/climatehouse-weather.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hahnwa Headquarters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T2 Lab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Singapore Sustainability Academy,,,,,,,,,,,https://www.seris.nus.edu.sg/research/SERIS-Flagship-Project.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SERIS’ Floating Solar,,,,,,,,,,,https://www.seris.nus.edu.sg/research/SERIS-Flagship-Project.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saskatchewan Conservation House,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Freiburg Town Hall,,,,,,,,,,,https://solarchitecture.ch/wp-content/uploads/2020/11/201022_BIPV_web_V01.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Centro Polifunzionale Pregassona,,,,,,,,,,,https://solarchitecture.ch/wp-content/uploads/2020/11/201022_BIPV_web_V01.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dubai 2020 Gas Station,,,,,,,,,,,https://sunovation.de/en/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dubai 2020 Pavilion,,,,,,,,,,,https://solarchitecture.ch/wp-content/uploads/2020/11/201022_BIPV_web_V01.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parking Garage Canopy,,,,,,,,,,,https://sunovation.de/en/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Office in Klaus,,,,,,,,,,,https://solarchitecture.ch/wp-content/uploads/2020/11/201022_BIPV_web_V01.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stavros Niarchos Cultural Center ,,,,,,,,,,,https://solarchitecture.ch/wp-content/uploads/2020/11/201022_BIPV_web_V01.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wohnhaus in Mandorf,,,,,Switzerland,,,,,,https://solarchitecture.ch/wp-content/uploads/2020/11/201022_BIPV_web_V01.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zurich Insurance Office in Lugano,,Retrofit,2008,,Switzerland,,,,,,https://solarchitecture.ch/wp-content/uploads/2020/11/201022_BIPV_web_V01.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adaptive Solar Facade,,,,,Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
